Country Name,Country Code,Region,IncomeGroup,SpecialNotes,Year,Emission
Africa Western and Central,AFW,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2018,0.486456128
Africa Western and Central,AFW,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",2019,0.493923185
Angola,AGO,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,1.13504405
Angola,AGO,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016,1.031811348
Angola,AGO,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2017,0.81330073
Angola,AGO,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2018,0.777674934
Angola,AGO,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2019,0.792137069
Albania,ALB,Europe & Central Asia,Upper middle income,,2015,1.60377515
Albania,ALB,Europe & Central Asia,Upper middle income,,2016,1.557664358
Albania,ALB,Europe & Central Asia,Upper middle income,,2017,1.788786074
Albania,ALB,Europe & Central Asia,Upper middle income,,2018,1.782738948
Albania,ALB,Europe & Central Asia,Upper middle income,,2019,1.69224832
Andorra,AND,Europe & Central Asia,High income,,2015,6.026181822
Andorra,AND,Europe & Central Asia,High income,,2016,6.080600282
Andorra,AND,Europe & Central Asia,High income,,2017,6.104133912
Andorra,AND,Europe & Central Asia,High income,,2018,6.362975399
Andorra,AND,Europe & Central Asia,High income,,2019,6.481217432
Arab World,ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2015,4.590845752
Arab World,ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2016,4.550515314
Arab World,ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2017,4.511544658
Arab World,ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2018,4.375073798
Arab World,ARB,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,2019,4.408389449
United Arab Emirates,ARE,Middle East & North Africa,High income,,2015,21.07764197
United Arab Emirates,ARE,Middle East & North Africa,High income,,2016,21.48066861
United Arab Emirates,ARE,Middle East & North Africa,High income,,2017,20.76902233
United Arab Emirates,ARE,Middle East & North Africa,High income,,2018,18.39067806
United Arab Emirates,ARE,Middle East & North Africa,High income,,2019,19.32956328
Argentina,ARG,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,4.301913876
Argentina,ARG,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016,4.201845776
Argentina,ARG,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2017,4.071308362
Argentina,ARG,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2018,3.975771971
Argentina,ARG,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2019,3.740650291
Armenia,ARM,Europe & Central Asia,Upper middle income,,2015,1.825292244
Armenia,ARM,Europe & Central Asia,Upper middle income,,2016,1.72675284
Armenia,ARM,Europe & Central Asia,Upper middle income,,2017,1.823560155
Armenia,ARM,Europe & Central Asia,Upper middle income,,2018,1.934451579
Armenia,ARM,Europe & Central Asia,Upper middle income,,2019,2.086060678
American Samoa,ASM,East Asia & Pacific,Upper middle income,,2015,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,2016,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,2017,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,2018,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,2019,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,2015,5.236665308
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,2016,5.289885738
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,2017,5.239717055
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,2018,5.296940139
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,,2019,5.354476455
Australia,AUS,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2015,15.863288
Australia,AUS,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2016,15.91465712
Australia,AUS,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2017,15.81831632
Australia,AUS,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2018,15.49352925
Australia,AUS,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2019,15.23826715
Austria,AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2015,7.317158873
Austria,AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2016,7.288819983
Austria,AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2017,7.486161583
Austria,AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2018,7.133063919
Austria,AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2019,7.293984252
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,,2015,3.292452869
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,,2016,3.304019557
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,,2017,3.243341999
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,,2018,3.292832354
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,,2019,3.542397828
Burundi,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2015,0.039369948
Burundi,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016,0.0419527
Burundi,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2017,0.048951647
Burundi,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2018,0.061742872
Burundi,BDI,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2019,0.062442671
Belgium,BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2015,8.437851999
Belgium,BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2016,8.314931808
Belgium,BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2017,8.151095679
Belgium,BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2018,8.196338589
Belgium,BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",2019,8.095583954
Benin,BEN,Sub-Saharan Africa,Lower middle income,,2015,0.520992816
Benin,BEN,Sub-Saharan Africa,Lower middle income,,2016,0.619937007
Benin,BEN,Sub-Saharan Africa,Lower middle income,,2017,0.614754528
Benin,BEN,Sub-Saharan Africa,Lower middle income,,2018,0.646058116
Benin,BEN,Sub-Saharan Africa,Lower middle income,,2019,0.618583746
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,2015,0.204300066
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,2016,0.198430258
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,2017,0.222474208
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,2018,0.23643815
Burkina Faso,BFA,Sub-Saharan Africa,Low income,,2019,0.246046246
Bangladesh,BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2015,0.461997426
Bangladesh,BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2016,0.470827565
Bangladesh,BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2017,0.496851847
Bangladesh,BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2018,0.517113005
Bangladesh,BGD,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2019,0.556529455
Bulgaria,BGR,Europe & Central Asia,Upper middle income,,2015,6.207865317
Bulgaria,BGR,Europe & Central Asia,Upper middle income,,2016,5.834881981
Bulgaria,BGR,Europe & Central Asia,Upper middle income,,2017,6.20129024
Bulgaria,BGR,Europe & Central Asia,Upper middle income,,2018,5.82203361
Bulgaria,BGR,Europe & Central Asia,Upper middle income,,2019,5.61085728
Bahrain,BHR,Middle East & North Africa,High income,,2015,22.29101801
Bahrain,BHR,Middle East & North Africa,High income,,2016,21.25133118
Bahrain,BHR,Middle East & North Africa,High income,,2017,20.42732768
Bahrain,BHR,Middle East & North Africa,High income,,2018,19.63120569
Bahrain,BHR,Middle East & North Africa,High income,,2019,20.26610279
"Bahamas, The",BHS,Latin America & Caribbean,High income,,2015,5.905932758
"Bahamas, The",BHS,Latin America & Caribbean,High income,,2016,5.397924873
"Bahamas, The",BHS,Latin America & Caribbean,High income,,2017,5.684363486
"Bahamas, The",BHS,Latin America & Caribbean,High income,,2018,7.260751623
"Bahamas, The",BHS,Latin America & Caribbean,High income,,2019,7.291661097
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,,2015,5.721181036
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,,2016,6.597243083
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,,2017,6.767050642
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,,2018,6.799182648
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,,2019,6.382918043
Belarus,BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",2015,5.79426692
Belarus,BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",2016,5.822979457
Belarus,BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",2017,5.92135146
Belarus,BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",2018,6.245507315
Belarus,BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",2019,6.122237765
Belize,BLZ,Latin America & Caribbean,Upper middle income,,2015,1.884042732
Belize,BLZ,Latin America & Caribbean,Upper middle income,,2016,1.764391261
Belize,BLZ,Latin America & Caribbean,Upper middle income,,2017,1.703146792
Belize,BLZ,Latin America & Caribbean,Upper middle income,,2018,1.644603729
Belize,BLZ,Latin America & Caribbean,Upper middle income,,2019,1.639550009
Bermuda,BMU,North America,High income,,2015,
Bermuda,BMU,North America,High income,,2016,
Bermuda,BMU,North America,High income,,2017,
Bermuda,BMU,North America,High income,,2018,
Bermuda,BMU,North America,High income,,2019,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,,2015,1.909890716
Bolivia,BOL,Latin America & Caribbean,Lower middle income,,2016,1.995137361
Bolivia,BOL,Latin America & Caribbean,Lower middle income,,2017,2.032547019
Bolivia,BOL,Latin America & Caribbean,Lower middle income,,2018,2.046129929
Bolivia,BOL,Latin America & Caribbean,Lower middle income,,2019,1.940398005
Brazil,BRA,Latin America & Caribbean,Upper middle income,,2015,2.373628508
Brazil,BRA,Latin America & Caribbean,Upper middle income,,2016,2.168574696
Brazil,BRA,Latin America & Caribbean,Upper middle income,,2017,2.196418173
Brazil,BRA,Latin America & Caribbean,Upper middle income,,2018,2.071854677
Brazil,BRA,Latin America & Caribbean,Upper middle income,,2019,2.057810839
Barbados,BRB,Latin America & Caribbean,High income,,2015,4.451033309
Barbados,BRB,Latin America & Caribbean,High income,,2016,4.513677359
Barbados,BRB,Latin America & Caribbean,High income,,2017,4.122573001
Barbados,BRB,Latin America & Caribbean,High income,,2018,4.325983846
Barbados,BRB,Latin America & Caribbean,High income,,2019,4.355082032
Brunei Darussalam,BRN,East Asia & Pacific,High income,,2015,15.42488346
Brunei Darussalam,BRN,East Asia & Pacific,High income,,2016,16.60349981
Brunei Darussalam,BRN,East Asia & Pacific,High income,,2017,17.17391347
